Year,Quarter,Immigrants,Emigrants,Net_non_permanent_residents,Net_temporary_emigrants,Returning_emigrants,Net_migration
1971,3,5340,2548,294,0,1484,4570
1971,4,4507,2156,-65,0,1256,3542
1972,1,3739,1859,104,0,1083,3067
1972,2,4816,1968,-48,0,1132,3932
1972,3,5506,2517,303,0,1413,4705
1972,4,6046,1882,-66,0,1056,5154
1973,1,4284,1766,106,0,991,3615
1973,2,6734,2189,435,0,1130,6110
1973,3,7607,3477,331,0,1478,5939
1973,4,9324,2917,-72,0,1240,7575
1974,1,6908,2187,116,0,929,5766
1974,2,9147,2493,-587,0,1091,7158
1974,3,10251,2952,323,0,1368,8990
1974,4,8175,2805,-71,0,1300,6599
1975,1,6971,2423,114,0,1123,5785
1975,2,8221,2303,408,0,1120,7446
1975,3,8455,2573,351,0,1371,7604
1975,4,5625,2228,-77,0,1187,4507
1976,1,4857,1921,123,0,1025,4084
1976,2,6324,2266,-708,0,1231,4581
1976,3,5350,2530,340,0,1431,4591
1976,4,3953,1947,-75,0,1101,3032
1977,1,3385,1456,119,0,823,2871
1977,2,4273,1843,-595,0,1003,2838
1977,3,4471,2802,333,0,1401,3403
1977,4,3266,2160,-74,0,1080,2112
1978,1,2721,1618,117,0,810,2030
1978,2,3590,1949,-685,0,972,1928
1978,3,3149,2826,321,0,1398,2042
1978,4,2871,2182,-70,0,1080,1699
1979,1,2862,1634,113,0,809,2150
1979,2,3655,1803,406,0,942,3200
1979,3,4951,2438,348,0,1411,4272
1979,4,5128,1570,-76,0,908,4390
1980,1,5106,1286,122,0,743,4685
1980,2,6959,1524,1058,0,901,7394
1980,3,6795,1967,399,0,1217,6444
1980,4,5643,1458,-88,0,902,4999
1981,1,4780,1206,140,0,746,4460
1981,2,5661,1574,892,0,835,5814
1981,3,6227,2245,2430,0,1052,7464
1981,4,5434,1554,-194,0,719,4405
1982,1,4897,1544,-287,0,709,3775
1982,2,5568,1911,-572,0,936,4021
1982,3,4356,2709,455,0,1305,3407
1982,4,4203,1896,-245,0,910,2972
1983,1,3382,1515,52,0,722,2641
1983,2,3483,1995,-168,0,930,2250
1983,3,3749,2846,592,0,1277,2772
1983,4,3869,1715,69,0,753,2976
1984,1,3102,1551,78,0,673,2302
1984,2,3750,1934,-16,0,844,2644
1984,3,3538,3206,461,0,1405,2198
1984,4,2841,2008,-160,0,857,1530
1985,1,2769,1735,414,0,739,2187
1985,2,3172,1887,43,0,845,2173
1985,3,3483,3147,1222,0,1505,3063
1985,4,2832,1821,96,0,844,1951
1986,1,2776,1550,1345,0,700,3271
1986,2,3299,1771,2088,0,838,4454
1986,3,3147,2967,1754,0,1227,3161
1986,4,3334,1927,-690,0,687,1404
1987,1,4474,1491,1694,0,721,5398
1987,2,4868,1635,651,0,1046,4930
1987,3,5365,2336,2535,0,936,6500
1987,4,4191,1433,968,0,524,4250
1988,1,4739,1234,850,0,550,4905
1988,2,6160,1113,2112,0,798,7957
1988,3,6955,1999,3614,0,909,9479
1988,4,5277,1322,1899,0,509,6363
1989,1,5389,1235,2206,0,534,6894
1989,2,6963,1388,2252,0,774,8601
1989,3,7173,2064,3903,0,940,9952
1989,4,5767,1324,625,0,527,5595
1990,1,5812,1236,1665,0,553,6794
1990,2,7744,1524,881,0,803,7904
1990,3,9098,2040,1223,0,951,9232
1990,4,6486,1387,-977,0,533,4655
1991,1,6758,1100,-2974,0,559,3243
1991,2,8300,1691,-566,0,810,6853
1991,3,8352,2705,436,1015,1060,6128
1991,4,8972,1449,-2320,746,593,5050
1992,1,7768,1411,475,690,623,6765
1992,2,9716,1362,71,730,903,8598
1992,3,10180,2498,988,1010,972,8632
1992,4,9373,1433,-2253,749,544,5482
1993,1,9886,1360,-1690,691,571,6716
1993,2,11575,1449,-1185,731,829,9039
1993,3,14048,2215,356,962,847,12074
1993,4,10460,1492,-1898,778,558,6850
1994,1,11790,1052,-194,666,518,10396
1994,2,13134,1482,-208,776,825,11493
1994,3,15248,2340,1809,1045,992,14664
1994,4,8974,1324,-1244,764,472,6114
1995,1,10063,882,979,642,554,10072
1995,2,11975,1200,1011,730,738,11794
1995,3,12345,2427,2387,1061,1128,12372
1995,4,10220,1325,739,761,533,9406
1996,1,12197,856,1777,632,503,12989
1996,2,12966,1207,567,728,987,12585
1996,3,14724,2610,1787,1849,1349,13401
1996,4,12138,1603,-941,1429,477,8642
1997,1,13329,1269,1138,1289,470,12379
1997,2,13044,1775,832,1501,780,11380
1997,3,12782,3193,1055,1941,1080,9783
1997,4,8693,1882,-1108,1455,528,4776
1998,1,9149,1355,-503,1260,515,6546
1998,2,9832,1760,-718,1411,934,6877
1998,3,9615,3486,1421,2011,1117,6656
1998,4,7394,1816,-311,1411,445,4301
1999,1,8180,1296,1032,1224,555,7247
1999,2,9085,1850,2043,1423,996,8851
1999,3,10175,3709,2944,1946,971,8435
1999,4,8666,2133,-1431,1441,450,4111
2000,1,8610,1546,1950,1253,396,8157
2000,2,9495,2092,260,1428,732,6967
2000,3,10316,3517,2320,2002,956,8073
2000,4,8992,1939,75,1444,385,6069
2001,1,9428,1375,2402,1244,385,9596
2001,2,10807,1748,2113,1376,742,10538
2001,3,10529,5109,4931,1753,1413,10011
2001,4,7720,3317,232,1256,693,4072
2002,1,9573,1553,2697,924,614,10407
2002,2,10202,1979,295,992,1181,8707
2002,3,7992,4762,3746,1551,1732,7157
2002,4,6290,3203,-402,1177,796,2304
2003,1,7954,2485,1591,1080,919,6899
2003,2,9688,2387,1410,1115,1419,9015
2003,3,9459,4250,1385,1437,1836,6993
2003,4,8132,3561,659,1171,796,4855
2004,1,8966,2853,1089,1116,766,6852
2004,2,10155,3323,-496,1199,1417,6554
2004,3,10362,4170,2834,1454,2128,9700
2004,4,7543,3182,761,1179,966,4909
2005,1,10505,2580,1537,1107,915,9270
2005,2,12167,2951,579,1185,1669,10279
