Year,Quarter,Immigrants,Emigrants,Net_non_permanent_residents,Net_temporary_emigrants,Returning_emigrants,Net_migration
2005,3,12450,3673,2967,1432,2576,12888
2005,4,9653,3100,-483,1153,1045,5962
2006,1,10270,2578,1735,1141,1074,9360
2006,2,11473,2945,639,1200,1912,9879
2006,3,11021,3915,3537,1683,2941,11901
2006,4,9321,3346,-1907,1380,842,3530
2007,1,7972,2959,4273,1322,878,8842
2007,2,9497,3039,2425,1413,1520,8990
2007,3,12208,3809,4734,1701,2132,13564
2007,4,9293,3108,-1467,1367,967,4318
2008,1,10127,2536,2926,1325,934,10126
2008,2,11592,2710,4926,1405,1662,14065
2008,3,12714,3565,7665,1777,2013,17050
2008,4,9569,2899,2302,1417,882,8437
2009,1,9244,2494,5628,1302,949,12025
2009,2,10848,2282,2088,1304,1559,10909
2009,3,12116,3286,7104,1652,2136,16418
2009,4,9231,2905,1462,1392,1027,7423
2010,1,9629,2731,4182,1339,978,10719
2010,2,12895,2667,-1574,1416,1772,9010
2010,3,13508,3729,5229,1660,1973,15321
2010,4,8153,2813,-7194,1372,893,-2333
2011,1,7614,2632,1325,1373,865,5799
2011,2,9672,2635,1039,1392,1603,8287
2011,3,9892,3939,8299,1544,2111,14819
2011,4,7626,3467,-1021,1255,904,2787
2012,1,8668,3060,1830,1220,898,7116
2012,2,10064,2792,3312,1218,1663,11029
2012,3,9022,3673,9390,1511,2228,15456
2012,4,8483,2966,-3845,1218,840,1294
2013,1,8095,3425,2592,1256,833,6839
2013,2,10138,2809,2597,1251,1585,10260
2013,3,8952,3539,11660,1473,2553,18153
2013,4,9039,3574,-4977,1245,886,129
2014,1,9587,3045,2991,1258,859,9134
2014,2,9942,2820,1929,1261,1586,9376
2014,3,7987,3736,10950,1520,2628,16309
2014,4,7681,3213,-6912,1210,1013,-2641
2015,1,6784,3096,-1973,1250,913,1378
2015,2,9220,2726,-2988,1254,1908,4160
2015,3,10899,4126,2923,1560,2857,10993
2015,4,8847,3308,-7760,1247,996,-2472
2016,1,11764,3025,-123,1236,1013,8393
2016,2,11732,2713,3296,1191,1881,13005
2016,3,7822,3563,11256,1589,2717,16643
2016,4,6770,2962,-1503,1249,915,1971
2017,1,10646,2942,2743,1259,931,10119
2017,2,10159,2425,7563,1199,1837,15935
2017,3,8695,3184,15044,1541,2578,21592
2017,4,8948,2730,1559,1234,929,7472
2018,1,12185,2693,3791,1312,841,12812
2018,2,12088,2387,8903,1271,1714,19047
2018,3,10858,2957,16661,1582,2699,25679
2018,4,9741,2380,-1668,1294,942,5341
2019,1,8848,2216,8080,1306,795,14201
2019,2,13688,1899,8736,1255,1625,20895
2019,3,15900,2495,16602,1791,2916,31132
2019,4,11801,1881,-4477,1350,1046,5139
2020,1,11038,1969,-1189,1417,1179,7642
2020,2,6066,573,-9914,372,637,-4156
2020,3,4901,1550,-12691,719,2076,-7983
2020,4,6487,1581,-2083,835,858,2846
2021,1,10278,2170,4568,1063,816,12429
2021,2,12722,1888,2659,1082,1668,14079
2021,3,23137,2838,8584,1563,2785,30105
2021,4,23337,2923,-8567,1871,972,10948
2022,1,20736,2286,3344,1348,820,21266
2022,2,15990,1959,26942,1294,1676,41355
