Year,Quarter,Origin,N.L.,P.E.I.,N.S.,N.B.,Que.,Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nvt.,Total
1971,3,N.L.,0,39,378,279,218,1732,40,20,87,111,4,6,0,2914
1971,3,P.E.I.,35,0,326,256,77,563,34,24,102,52,5,7,0,1481
1971,3,N.S.,596,283,0,1272,590,3754,214,90,518,871,19,30,0,8237
1971,3,N.B.,432,260,1199,0,942,2785,124,66,328,384,7,11,0,6538
1971,3,Que.,373,92,651,1346,0,11692,535,123,821,1365,21,31,0,17050
1971,3,Ont.,2436,658,3942,2967,7014,0,2958,1053,4444,6287,153,238,0,32150
1971,3,Man.,107,105,178,231,526,3923,0,1692,2562,2556,50,78,0,12008
1971,3,Sask.,43,13,279,127,152,1605,2039,0,5586,3025,94,147,0,13110
1971,3,Alta.,188,80,431,243,478,3675,1410,2406,0,8816,347,544,0,18618
1971,3,B.C.,150,41,463,298,576,4171,1361,1262,6362,0,260,410,0,15354
1971,3,Y.T.,7,2,0,5,22,49,31,20,242,241,0,0,0,619
1971,3,N.W.T.,10,3,0,8,34,79,48,31,378,377,0,0,0,968
1971,4,N.L.,0,50,575,399,432,2418,53,26,108,184,5,7,0,4257
1971,4,P.E.I.,29,0,289,215,87,459,25,18,73,51,3,4,0,1253
1971,4,N.S.,499,210,0,1054,676,3007,166,66,370,831,13,20,0,6912
1971,4,N.B.,398,213,1151,0,1182,2457,106,53,257,403,5,8,0,6233
1971,4,Que.,440,97,796,1566,0,13171,587,129,826,1831,18,31,0,19492
1971,4,Ont.,2016,481,3391,2416,7876,0,2276,769,3131,5908,107,165,0,28536
1971,4,Man.,90,77,157,192,600,3159,0,1261,1844,2452,35,55,0,9922
1971,4,Sask.,41,10,268,119,192,1418,1761,0,4426,3192,74,114,0,11615
1971,4,Alta.,167,63,397,213,576,3105,1164,1886,0,8901,260,408,0,17140
1971,4,B.C.,134,32,437,267,709,3610,1151,1012,4939,0,200,314,0,12805
1971,4,Y.T.,5,1,0,4,26,42,25,14,182,240,0,0,0,539
1971,4,N.W.T.,9,2,0,7,41,64,40,23,282,374,0,0,0,842
1972,1,N.L.,0,30,265,214,285,1318,36,18,74,95,3,4,0,2342
1972,1,P.E.I.,12,0,107,92,47,199,14,10,41,22,2,2,0,548
1972,1,N.S.,326,154,0,684,542,1986,133,54,308,519,10,16,0,4732
1972,1,N.B.,200,120,493,0,726,1243,65,33,164,193,4,5,0,3246
1972,1,Que.,225,56,349,801,0,6853,369,82,538,897,12,20,0,10202
1972,1,Ont.,1201,325,1730,1435,5760,0,1656,564,2362,3358,75,119,0,18585
1972,1,Man.,56,54,82,118,457,1991,0,970,1456,1460,26,41,0,6711
1972,1,Sask.,23,7,134,68,137,838,1252,0,3268,1776,51,80,0,7634
1972,1,Alta.,106,45,216,135,449,2002,907,1483,0,5406,197,309,0,11255
1972,1,B.C.,82,22,227,161,527,2222,854,760,3797,0,145,226,0,9023
1972,1,Y.T.,5,1,0,4,27,34,24,15,185,185,0,0,0,480
