Year,Quarter,Origin,N.L.,P.E.I.,N.S.,N.B.,Que.,Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nvt.,Total
1972,1,N.W.T.,7,1,0,6,39,54,40,23,291,291,0,0,0,752
1972,2,N.L.,0,22,233,150,169,1265,25,14,54,75,3,4,0,2014
1972,2,P.E.I.,14,0,142,98,41,291,14,12,43,25,2,3,0,685
1972,2,N.S.,220,101,0,425,285,1679,83,38,197,368,8,12,0,3416
1972,2,N.B.,217,130,624,0,615,1699,67,38,169,220,4,6,0,3789
1972,2,Que.,246,59,438,801,0,9278,378,93,550,1023,15,23,0,12904
1972,2,Ont.,989,264,1653,1094,3697,0,1298,489,1849,2923,69,110,0,14435
1972,2,Man.,49,45,83,95,310,2174,0,887,1204,1342,26,41,0,6256
1972,2,Sask.,20,6,130,52,88,880,998,0,2599,1570,48,76,0,6467
1972,2,Alta.,89,37,210,105,292,2104,722,1303,0,4787,187,292,0,10128
1972,2,B.C.,89,23,287,161,447,3024,882,866,3917,0,179,279,0,10154
1972,2,Y.T.,4,1,0,2,18,37,20,14,155,171,0,0,0,422
1972,2,N.W.T.,6,1,0,5,27,59,32,21,242,266,0,0,0,659
1972,3,N.L.,0,54,567,279,277,1869,86,32,95,149,27,42,0,3477
1972,3,P.E.I.,51,0,297,133,36,490,41,9,66,43,3,4,0,1173
1972,3,N.S.,502,330,0,1197,424,2904,180,53,408,510,13,21,0,6542
1972,3,N.B.,319,262,1286,0,913,2183,135,42,257,387,5,7,0,5796
1972,3,Que.,321,125,867,1307,0,11513,455,116,864,1473,26,40,0,17107
1972,3,Ont.,2215,597,3709,2736,6465,0,2826,931,3745,5647,103,161,0,29135
1972,3,Man.,80,41,279,212,401,3382,0,1639,2410,2540,84,130,0,11198
1972,3,Sask.,62,27,140,108,139,1338,2017,0,5300,3002,112,174,0,12419
1972,3,Alta.,88,68,438,213,376,2713,1085,1955,0,7248,275,432,0,14891
1972,3,B.C.,127,27,483,234,595,4225,1280,1334,5890,0,267,421,0,14883
1972,3,Y.T.,8,2,2,4,13,71,39,32,222,237,0,0,0,630
1972,3,N.W.T.,12,2,2,6,21,112,61,49,349,371,0,0,0,985
1972,4,N.L.,0,51,610,264,415,1702,101,32,104,186,28,43,0,3536
1972,4,P.E.I.,44,0,266,104,43,369,39,7,60,43,2,4,0,981
1972,4,N.S.,416,249,0,881,494,2042,166,41,351,493,10,17,0,5160
1972,4,N.B.,276,207,1121,0,1109,1601,132,34,232,392,4,6,0,5114
1972,4,Que.,326,113,892,1182,0,9956,515,110,916,1753,25,40,0,15828
1972,4,Ont.,1800,442,3043,1977,7404,0,2564,707,3162,5353,81,127,0,26660
1972,4,Man.,67,32,242,163,485,2474,0,1318,2162,2559,69,108,0,9679
1972,4,Sask.,48,20,109,75,152,881,1749,0,4286,2728,85,131,0,10264
1972,4,Alta.,98,68,496,210,594,2578,1359,2049,0,9503,297,465,0,17717
1972,4,B.C.,114,21,440,188,760,3244,1294,1130,5561,0,234,365,0,13351
1972,4,Y.T.,8,1,1,3,19,64,45,32,244,292,0,0,0,709
1972,4,N.W.T.,12,2,2,4,30,101,71,49,382,457,0,0,0,1110
1973,1,N.L.,0,35,386,312,268,1443,94,27,85,138,21,32,0,2841
1973,1,P.E.I.,28,0,145,105,25,268,31,5,43,28,2,3,0,683
1973,1,N.S.,307,176,0,1088,334,1820,162,38,297,382,8,13,0,4625
1973,1,N.B.,201,144,739,0,739,1411,127,31,195,300,3,5,0,3895
1973,1,Que.,197,66,481,1183,0,7180,404,82,631,1095,15,24,0,11358
1973,1,Ont.,1337,314,2044,2461,5023,0,2510,658,2707,4168,63,98,0,21383
1973,1,Man.,46,20,147,183,301,2020,0,1114,1677,1806,48,76,0,7438
1973,1,Sask.,32,13,67,84,94,720,1557,0,3334,1927,59,92,0,7979
1973,1,Alta.,65,43,299,236,363,2083,1194,1713,0,6633,207,323,0,13159
1973,1,B.C.,90,16,312,245,543,3078,1336,1109,5010,0,190,298,0,12227
1973,1,Y.T.,6,1,1,3,15,57,44,29,206,225,0,0,0,587
1973,1,N.W.T.,9,1,1,6,21,89,70,45,323,352,0,0,0,917
1973,2,N.L.,0,32,436,171,244,1527,69,27,69,132,15,23,0,2745
1973,2,P.E.I.,32,0,177,63,25,310,26,6,37,29,1,2,0,708
1973,2,N.S.,320,157,0,585,302,1909,119,36,239,364,6,10,0,4047
1973,2,N.B.,206,125,801,0,654,1442,90,29,152,278,2,3,0,3782
1973,2,Que.,218,63,568,676,0,8002,312,84,537,1111,13,19,0,11603
1973,2,Ont.,1471,295,2396,1395,4802,0,1924,656,2287,4198,48,76,0,19548
1973,2,Man.,46,17,158,94,260,2020,0,1004,1284,1646,33,53,0,6615
1973,2,Sask.,35,11,77,47,89,784,1177,0,2778,1916,45,70,0,7029
1973,2,Alta.,69,40,332,128,331,2180,865,1615,0,6314,152,238,0,12264
1973,2,B.C.,98,15,363,139,518,3381,1018,1097,4212,0,148,231,0,11220
1973,2,Y.T.,6,1,1,2,10,50,28,24,141,182,0,0,0,445
1973,2,N.W.T.,9,1,2,3,16,80,44,37,219,284,0,0,0,695
1973,3,N.L.,0,74,642,293,319,2369,252,30,241,222,8,13,0,4463
1973,3,P.E.I.,67,0,321,279,70,536,64,15,139,83,1,1,0,1576
1973,3,N.S.,539,338,0,1134,492,3346,344,57,481,626,6,9,0,7372
1973,3,N.B.,268,337,1269,0,888,2258,226,61,344,424,1,2,0,6078
1973,3,Que.,309,85,647,1251,0,9740,506,130,896,1251,18,27,0,14860
1973,3,Ont.,2264,722,3596,2804,7662,0,3054,980,5230,7380,48,76,0,33816
1973,3,Man.,125,65,277,207,429,3036,0,1575,2914,2589,36,56,0,11309
1973,3,Sask.,41,17,90,97,106,1541,1791,0,5819,2949,55,87,0,12593
1973,3,Alta.,135,66,422,250,582,3787,1881,3081,0,9539,162,255,0,20160
1973,3,B.C.,148,66,570,316,893,4076,1710,1634,7024,0,133,207,0,16777
1973,3,Y.T.,10,0,10,2,16,77,40,60,303,300,0,0,0,818
1973,3,N.W.T.,16,0,17,3,24,121,63,95,474,467,0,0,0,1280
1973,4,N.L.,0,73,842,357,455,2786,330,43,254,293,15,24,0,5472
1973,4,P.E.I.,62,0,297,241,70,446,59,14,101,77,1,1,0,1369
1973,4,N.S.,645,303,0,1254,631,3559,406,73,457,748,9,16,0,8101
1973,4,N.B.,285,268,1338,0,1019,2136,238,70,292,451,2,3,0,6102
1973,4,Que.,378,79,783,1418,0,10604,616,175,875,1532,31,50,0,16541
1973,4,Ont.,2387,566,3736,2721,8655,0,3177,1123,4388,7753,75,118,0,34699
1973,4,Man.,126,48,276,192,465,2709,0,1726,2338,2602,53,83,0,10618
1973,4,Sask.,43,13,95,96,119,1435,1860,0,4869,3091,86,133,0,11840
1973,4,Alta.,150,55,460,254,687,3701,2049,3700,0,10493,260,407,0,22216
1973,4,B.C.,160,53,605,314,1034,3887,1817,1914,6018,0,207,322,0,16331
1973,4,Y.T.,10,0,10,2,15,65,38,62,225,278,0,0,0,705
1973,4,N.W.T.,15,0,16,4,24,102,58,96,352,436,0,0,0,1103
1974,1,N.L.,0,44,539,237,342,1884,226,26,195,204,10,16,0,3723
1974,1,P.E.I.,23,0,122,103,34,194,25,6,51,33,1,1,0,593
1974,1,N.S.,411,196,0,865,496,2509,290,47,365,551,7,11,0,5748
1974,1,N.B.,171,164,845,0,760,1431,162,42,220,315,1,2,0,4113
1974,1,Que.,257,54,558,1044,0,7980,469,122,747,1201,24,37,0,12493
1974,1,Ont.,1192,288,1949,1466,5317,0,1776,580,2734,4452,42,68,0,19864
1974,1,Man.,67,27,153,111,304,1596,0,950,1560,1600,33,49,0,6450
1974,1,Sask.,21,7,49,52,74,786,1036,0,3026,1769,48,75,0,6943
1974,1,Alta.,82,32,264,152,466,2241,1263,2097,0,6645,164,256,0,13662
1974,1,B.C.,101,35,410,220,824,2777,1320,1280,4882,0,152,238,0,12239
1974,1,Y.T.,8,0,9,1,16,60,36,53,235,268,0,0,0,686
1974,1,N.W.T.,12,0,13,3,25,96,55,83,367,419,0,0,0,1073
1974,2,N.L.,0,32,354,151,185,1047,131,18,122,131,9,14,0,2194
1974,2,P.E.I.,28,0,129,105,31,173,26,7,51,36,1,1,0,588
1974,2,N.S.,336,160,0,645,316,1624,197,39,267,408,7,11,0,4010
1974,2,N.B.,158,153,735,0,544,1046,124,38,183,263,2,3,0,3249
1974,2,Que.,242,51,494,900,0,5972,368,112,629,1029,25,40,0,9862
1974,2,Ont.,1507,364,2328,1702,5251,0,1870,706,3102,5123,60,94,0,22107
1974,2,Man.,78,31,172,120,282,1506,0,1086,1659,1723,42,67,0,6766
1974,2,Sask.,24,7,52,52,65,713,985,0,3092,1834,62,97,0,6983
1974,2,Alta.,94,35,288,160,419,2065,1214,2337,0,6979,212,331,0,14134
1974,2,B.C.,118,39,443,230,738,2548,1263,1418,5028,0,197,308,0,12330
1974,2,Y.T.,8,0,8,1,12,46,28,49,209,240,0,0,0,601
1974,2,N.W.T.,12,0,12,2,19,73,44,77,325,375,0,0,0,939
1974,3,N.L.,0,36,674,323,325,1602,198,32,233,265,32,51,0,3771
1974,3,P.E.I.,56,0,407,280,56,435,68,17,148,95,6,10,0,1578
1974,3,N.S.,542,462,0,1479,582,3202,353,170,614,1011,24,37,0,8476
1974,3,N.B.,192,190,1009,0,863,1461,150,73,288,341,6,9,0,4582
1974,3,Que.,298,129,902,1497,0,9059,433,159,1075,1687,15,24,0,15278
1974,3,Ont.,2322,773,4339,2986,7620,0,3250,1166,5130,7211,108,170,0,35075
1974,3,Man.,141,73,407,239,398,3070,0,1885,2821,2856,62,97,0,12049
1974,3,Sask.,23,26,161,52,157,1089,1684,0,4445,2692,53,84,0,10466
1974,3,Alta.,92,81,528,246,452,2612,1277,2888,0,8140,291,452,0,17059
1974,3,B.C.,136,85,802,352,913,4524,1749,2000,8572,0,297,464,0,19894
1974,3,Y.T.,8,3,11,5,18,69,39,57,279,274,0,0,0,763
1974,3,N.W.T.,13,4,17,8,29,108,61,89,436,429,0,0,0,1194
1974,4,N.L.,0,27,533,304,296,1403,170,31,224,247,28,45,0,3308
1974,4,P.E.I.,37,0,236,195,37,280,42,11,103,66,3,7,0,1017
1974,4,N.S.,459,346,0,1341,509,2715,295,163,572,912,21,32,0,7365
1974,4,N.B.,286,252,1347,0,1324,2172,220,122,471,541,8,12,0,6755
1974,4,Que.,259,100,708,1395,0,7903,373,156,1031,1567,15,22,0,13529
1974,4,Ont.,2220,655,3735,3063,7538,0,3074,1261,5415,7383,107,166,0,34617
1974,4,Man.,116,52,296,210,333,2487,0,1722,2512,2471,51,81,0,10331
1974,4,Sask.,17,18,112,43,123,831,1267,0,3732,2191,42,68,0,8444
1974,4,Alta.,81,63,416,232,410,2295,1106,2862,0,7618,263,410,0,15756
1974,4,B.C.,112,62,587,308,768,3679,1404,1834,7663,0,249,389,0,17055
1974,4,Y.T.,7,3,9,4,15,53,30,50,237,225,0,0,0,633
1974,4,N.W.T.,11,3,13,7,24,84,45,80,371,353,0,0,0,991
1975,1,N.L.,0,21,388,247,240,1193,156,25,193,171,26,41,0,2701
1975,1,P.E.I.,28,0,171,157,30,237,39,9,89,45,4,6,0,815
1975,1,N.S.,275,209,0,849,320,1797,209,101,383,488,15,23,0,4669
1975,1,N.B.,157,140,700,0,765,1319,143,70,290,265,5,8,0,3862
1975,1,Que.,202,78,521,1150,0,6808,343,127,901,1093,13,21,0,11257
1975,1,Ont.,1554,460,2468,2259,5543,0,2549,911,4222,4604,86,136,0,24792
1975,1,Man.,78,37,191,149,238,1862,0,1209,1904,1498,41,63,0,7270
1975,1,Sask.,11,10,65,28,80,566,929,0,2572,1207,31,48,0,5547
1975,1,Alta.,64,51,314,194,344,2024,1047,2361,0,5438,243,381,0,12461
1975,1,B.C.,90,50,449,264,652,3286,1350,1536,6931,0,234,366,0,15208
1975,1,Y.T.,6,2,7,5,17,61,37,55,280,213,0,0,0,683
1975,1,N.W.T.,11,4,12,7,26,98,57,86,435,331,0,0,0,1067
1975,2,N.L.,0,16,304,191,172,889,114,23,141,115,18,27,0,2010
1975,2,P.E.I.,26,0,128,116,21,169,27,9,63,28,3,3,0,593
1975,2,N.S.,287,173,0,720,252,1465,170,97,305,355,10,16,0,3850
1975,2,N.B.,146,103,536,0,538,961,103,61,206,172,4,6,0,2836
1975,2,Que.,174,52,367,798,0,4544,228,100,588,651,8,12,0,7522
1975,2,Ont.,1517,357,1978,1794,4079,0,1918,815,3147,3129,59,92,0,18885
1975,2,Man.,83,31,166,128,190,1554,0,1183,1552,1113,30,47,0,6077
1975,2,Sask.,11,9,57,24,65,482,781,0,2139,916,23,36,0,4543
1975,2,Alta.,71,45,288,177,289,1764,901,2414,0,4218,186,291,0,10644
1975,2,B.C.,99,43,408,237,545,2849,1151,1559,5857,0,177,279,0,13204
1975,2,Y.T.,6,1,6,3,11,44,27,47,198,136,0,0,0,479
1975,2,N.W.T.,9,2,9,6,18,70,41,71,307,215,0,0,0,748
1975,3,N.L.,0,66,754,414,261,1563,152,30,221,179,15,24,0,3679
1975,3,P.E.I.,46,0,397,212,57,342,48,24,135,57,4,6,0,1328
1975,3,N.S.,554,396,0,1291,412,2477,232,147,578,575,20,32,0,6714
1975,3,N.B.,203,170,1103,0,734,1402,151,69,301,235,3,5,0,4376
1975,3,Que.,355,102,974,1679,0,8555,523,162,1187,1224,26,38,0,14825
1975,3,Ont.,2515,533,3823,2947,6023,0,2876,1134,5334,5158,102,158,0,30603
1975,3,Man.,160,54,392,207,354,2671,0,1895,2731,2092,98,151,0,10805
1975,3,Sask.,32,19,119,62,103,770,1086,0,2691,1395,68,107,0,6452
1975,3,Alta.,136,77,495,273,453,2911,1496,2957,0,6651,267,420,0,16136
1975,3,B.C.,151,41,693,341,867,4195,1603,2237,8763,0,305,480,0,19676
1975,3,Y.T.,13,5,20,10,20,87,29,56,266,201,0,0,0,707
1975,3,N.W.T.,20,7,30,16,30,136,44,87,421,316,0,0,0,1107
1975,4,N.L.,0,48,538,363,258,1302,130,28,198,152,10,17,0,3044
1975,4,P.E.I.,31,0,277,183,56,280,40,22,118,47,3,4,0,1061
1975,4,N.S.,387,304,0,1180,420,2149,208,145,541,508,15,23,0,5880
1975,4,N.B.,210,190,1198,0,1101,1793,197,101,413,304,3,5,0,5515
1975,4,Que.,255,81,738,1573,0,7604,481,164,1141,1109,19,28,0,13193
1975,4,Ont.,2041,474,3283,3129,7148,0,2986,1306,5825,5310,83,129,0,31714
1975,4,Man.,97,36,249,162,308,1983,0,1603,2191,1584,58,93,0,8364
1975,4,Sask.,27,17,104,69,125,793,1147,0,2994,1464,57,89,0,6886
1975,4,Alta.,92,58,356,243,451,2455,1298,2844,0,5720,185,289,0,13991
1975,4,B.C.,95,29,454,278,789,3234,1270,1965,7303,0,193,302,0,15912
1975,4,Y.T.,10,4,15,10,20,75,25,53,250,177,0,0,0,639
1975,4,N.W.T.,14,6,22,16,32,118,40,85,390,277,0,0,0,1000
1976,1,N.L.,0,41,432,292,208,1325,114,23,190,137,9,14,0,2785
1976,1,P.E.I.,25,0,205,136,41,262,32,17,105,39,2,3,0,867
1976,1,N.S.,287,223,0,786,283,1809,151,96,430,380,10,17,0,4472
1976,1,N.B.,130,116,667,0,623,1258,120,58,275,190,2,3,0,3442
1976,1,Que.,165,51,434,924,0,5657,305,97,802,731,11,18,0,9195
1976,1,Ont.,1259,289,1832,1739,4027,0,1802,734,3854,3307,50,77,0,18970
1976,1,Man.,67,24,158,104,199,1598,0,1030,1667,1130,40,62,0,6079
1976,1,Sask.,18,11,61,40,74,589,733,0,2103,968,36,56,0,4689
1976,1,Alta.,72,44,253,172,322,2197,1000,2036,0,4548,139,218,0,11001
1976,1,B.C.,83,24,359,219,633,3232,1092,1572,6893,0,162,254,0,14523
1976,1,Y.T.,7,3,10,7,15,73,21,41,225,150,0,0,0,552
1976,1,N.W.T.,11,5,17,11,24,113,32,65,351,234,0,0,0,863
1976,2,N.L.,0,28,307,202,149,992,81,18,150,110,9,13,0,2059
1976,2,P.E.I.,17,0,127,80,26,169,21,11,72,28,2,3,0,556
1976,2,N.S.,251,171,0,620,234,1558,122,83,388,348,12,20,0,3807
1976,2,N.B.,143,112,685,0,638,1361,123,62,310,217,2,5,0,3658
1976,2,Que.,161,45,390,803,0,5369,273,93,792,738,15,24,0,8703
1976,2,Ont.,1312,268,1785,1638,3929,0,1742,759,4133,3616,70,110,0,19362
1976,2,Man.,67,22,147,93,184,1558,0,1013,1693,1172,55,86,0,6090
1976,2,Sask.,18,11,60,37,73,611,713,0,2260,1061,52,80,0,4976
1976,2,Alta.,66,36,213,139,275,1963,837,1829,0,4309,175,272,0,10114
1976,2,B.C.,76,20,309,182,545,2939,931,1439,6520,0,207,323,0,13491
1976,2,Y.T.,8,2,11,6,15,74,19,42,240,164,0,0,0,581
1976,2,N.W.T.,12,5,16,10,23,115,30,67,376,255,0,0,0,909
1976,3,N.L.,0,70,805,387,244,1838,255,80,581,241,10,80,0,4591
1976,3,P.E.I.,100,0,430,285,44,435,56,47,219,87,2,4,0,1709
1976,3,N.S.,612,348,0,1133,626,2854,396,232,1567,910,54,67,0,8799
1976,3,N.B.,263,221,1612,0,994,2066,345,102,750,423,18,44,0,6838
1976,3,Que.,304,123,924,1355,0,13145,812,347,2341,2408,29,96,0,21884
1976,3,Ont.,1815,603,3856,2300,7379,0,3229,1881,9267,7515,121,351,0,38317
1976,3,Man.,126,66,227,184,422,2628,0,1899,3164,1788,53,163,0,10720
1976,3,Sask.,22,28,153,67,184,1027,1339,0,3585,1461,71,108,0,8045
1976,3,Alta.,138,111,431,281,518,2704,1551,3239,0,6768,213,551,0,16505
1976,3,B.C.,141,116,633,285,1147,3965,1315,1918,8952,0,278,212,0,18962
1976,3,Y.T.,19,0,17,2,28,57,41,60,264,499,0,88,0,1075
1976,3,N.W.T.,30,8,33,34,91,204,138,143,876,327,170,0,0,2054
1976,4,N.L.,0,20,424,142,136,1404,169,39,400,194,10,36,0,2974
1976,4,P.E.I.,30,0,212,137,23,203,28,9,102,36,1,7,0,788
1976,4,N.S.,277,182,0,618,189,1863,183,68,729,397,0,48,0,4554
1976,4,N.B.,109,93,753,0,455,1110,63,56,407,248,0,17,0,3311
1976,4,Que.,114,110,396,596,0,7956,277,121,1196,1132,6,48,0,11952
1976,4,Ont.,800,185,1689,936,3538,0,1543,711,4797,3812,53,141,0,18205
1976,4,Man.,63,41,106,85,105,1427,0,954,1600,982,30,42,0,5435
1976,4,Sask.,7,15,64,34,83,504,657,0,2199,707,0,25,0,4295
1976,4,Alta.,75,28,211,154,243,2216,790,1699,0,4021,68,212,0,9717
1976,4,B.C.,56,33,393,159,459,2788,811,910,5899,0,220,108,0,11836
1976,4,Y.T.,7,17,14,6,20,64,20,33,182,385,0,61,0,809
1976,4,N.W.T.,14,4,25,8,35,178,69,61,476,175,118,0,0,1163
1977,1,N.L.,0,24,315,175,108,1271,120,35,258,76,8,18,0,2408
1977,1,P.E.I.,21,0,152,141,10,147,18,3,87,24,0,6,0,609
1977,1,N.S.,314,119,0,745,213,1352,101,56,482,353,0,20,0,3755
1977,1,N.B.,91,71,575,0,484,902,63,31,311,126,0,8,0,2662
1977,1,Que.,119,48,240,448,0,6498,193,99,875,703,0,48,0,9271
1977,1,Ont.,658,205,1359,988,3393,0,1369,617,3761,3114,58,157,0,15679
1977,1,Man.,81,15,92,51,130,1062,0,878,1309,682,0,30,0,4330
1977,1,Sask.,6,7,60,12,53,454,583,0,1764,802,29,45,0,3815
1977,1,Alta.,59,56,187,113,285,2259,709,1619,0,3391,44,230,0,8952
1977,1,B.C.,37,3,297,107,443,2540,590,660,5268,0,209,123,0,10277
1977,1,Y.T.,6,0,9,2,4,53,17,19,158,230,0,34,0,532
1977,1,N.W.T.,19,0,12,20,61,146,37,48,394,175,145,0,0,1057
1977,2,N.L.,0,21,334,233,162,1095,152,27,234,167,5,50,0,2480
1977,2,P.E.I.,33,0,100,53,34,153,27,12,123,38,0,4,0,577
1977,2,N.S.,229,182,0,856,298,1569,178,100,586,518,0,24,0,4540
1977,2,N.B.,132,89,570,0,657,1093,136,62,264,222,0,11,0,3236
1977,2,Que.,135,83,599,880,0,7433,296,135,1214,1290,18,43,0,12126
1977,2,Ont.,957,361,1575,1335,4068,0,1729,895,4594,4617,63,194,0,20388
1977,2,Man.,97,0,139,92,256,1488,0,922,1740,1043,11,122,0,5910
1977,2,Sask.,7,4,71,42,94,665,675,0,2084,999,14,66,0,4721
1977,2,Alta.,80,79,300,243,442,2364,905,2046,0,4613,107,269,0,11448
1977,2,B.C.,76,39,436,205,658,2747,788,1066,5637,0,283,173,0,12108
1977,2,Y.T.,3,5,0,5,0,118,13,33,178,290,0,41,0,686
1977,2,N.W.T.,22,4,19,31,51,142,78,86,458,210,183,0,0,1284
1977,3,N.L.,0,71,807,355,213,1546,202,96,981,293,13,90,0,4667
1977,3,P.E.I.,76,0,383,227,31,378,50,36,208,103,5,3,0,1500
1977,3,N.S.,588,386,0,958,580,2657,340,191,1504,1037,23,64,0,8328
1977,3,N.B.,282,254,1628,0,898,2040,298,146,880,522,22,61,0,7031
1977,3,Que.,313,122,935,1479,0,17432,817,410,3358,2743,41,99,0,27749
1977,3,Ont.,1700,540,3165,2141,5911,0,2899,1726,10556,7739,173,362,0,36912
1977,3,Man.,98,64,228,177,322,2582,0,1613,2975,2060,44,150,0,10313
1977,3,Sask.,52,34,137,90,167,1110,1372,0,3942,1577,82,144,0,8707
1977,3,Alta.,223,151,687,287,511,3198,1537,2881,0,7632,248,506,0,17861
1977,3,B.C.,133,116,658,271,961,3980,978,1382,7259,0,313,182,0,16233
1977,3,Y.T.,15,0,12,2,20,39,21,28,194,421,0,136,0,888
1977,3,N.W.T.,37,4,57,14,61,210,113,136,803,303,105,0,0,1843
1977,4,N.L.,0,21,424,129,120,1181,135,46,677,234,12,41,0,3020
1977,4,P.E.I.,22,0,191,109,16,178,26,7,97,41,3,4,0,694
1977,4,N.S.,265,202,0,523,175,1735,157,56,700,453,0,45,0,4311
1977,4,N.B.,117,107,760,0,410,1096,55,81,478,305,0,24,0,3433
1977,4,Que.,117,109,401,650,0,10549,279,142,1713,1290,8,49,0,15307
1977,4,Ont.,749,166,1386,872,2834,0,1385,653,5464,3926,77,145,0,17657
1977,4,Man.,48,39,106,82,80,1402,0,810,1503,1132,25,38,0,5265
1977,4,Sask.,16,18,57,46,76,545,674,0,2420,763,0,33,0,4648
1977,4,Alta.,122,37,337,157,240,2620,784,1512,0,4535,79,194,0,10617
1977,4,B.C.,53,33,408,152,385,2798,603,655,4782,0,247,92,0,10208
1977,4,Y.T.,5,4,11,10,15,45,10,14,134,324,0,93,0,665
1977,4,N.W.T.,16,2,43,3,25,183,56,57,436,162,73,0,0,1056
1978,1,N.L.,0,24,315,161,96,1069,97,42,435,93,9,20,0,2361
1978,1,P.E.I.,16,0,136,112,7,127,16,2,81,28,0,3,0,528
1978,1,N.S.,302,131,0,632,198,1259,87,47,461,402,0,19,0,3538
1978,1,N.B.,98,82,580,0,436,890,55,44,365,155,0,12,0,2717
1978,1,Que.,123,47,243,489,0,8616,195,117,1255,800,0,50,0,11935
1978,1,Ont.,616,182,1115,920,2717,0,1227,566,4283,3208,84,161,0,15079
1978,1,Man.,63,15,92,48,100,1046,0,746,1231,787,0,27,0,4155
1978,1,Sask.,15,8,54,16,48,491,598,0,1940,865,33,60,0,4128
1978,1,Alta.,96,74,297,116,281,2672,702,1440,0,3823,51,211,0,9763
1978,1,B.C.,36,3,309,101,371,2551,438,476,4272,0,235,105,0,8897
1978,1,Y.T.,4,0,7,4,3,36,10,8,117,195,0,51,0,435
1978,1,N.W.T.,22,0,20,8,41,151,30,45,361,163,90,0,0,931
1978,2,N.L.,0,21,334,214,143,920,121,34,395,202,6,54,0,2444
1978,2,P.E.I.,25,0,89,42,23,133,25,9,117,45,0,3,0,511
1978,2,N.S.,220,203,0,726,276,1462,153,82,560,590,0,22,0,4294
1978,2,N.B.,141,103,576,0,593,1081,118,89,311,274,0,16,0,3302
1978,2,Que.,140,81,607,960,0,9856,298,160,1742,1469,25,45,0,15383
1978,2,Ont.,897,323,1293,1241,3258,0,1554,821,5233,4756,91,200,0,19667
1978,2,Man.,74,0,139,89,196,1461,0,783,1636,1202,10,112,0,5702
1978,2,Sask.,15,5,63,57,86,718,693,0,2292,1078,16,88,0,5111
1978,2,Alta.,131,108,478,249,435,2796,896,1821,0,5201,125,246,0,12486
1978,2,B.C.,72,39,452,195,551,2757,585,769,4571,0,318,148,0,10457
